country,longitude,lattitude,education_expenditures,purchasing_power_parity,unemployment_rate,distribution_of_family_income,literacy_rate,year
Malawi,34.0,-13.5,4.7,22420000000.0,20.4,46.1,62.1,2018
Malaysia,112.5,2.5,4.8,933300000000.0,3.4,46.2,94.6,2018
Maldives,73.0,3.25,4.3,6901000000.0,2.9,38.4,99.3,2018
Mali,-4.0,17.0,3.8,41220000000.0,7.9,40.1,33.1,2018
Malta,14.5833333333333,35.8333333333333,7.2,19260000000.0,4.6,28.1,94.4,2018
Marshall Islands,168.0,9.0,,196000000.0,36.0,,98.3,2018
Mauritania,-12.0,20.0,2.6,17280000000.0,10.2,37.0,52.1,2018
Mauritius,57.55,-20.2833333333333,5.1,28270000000.0,7.1,35.9,92.7,2018
Mexico,-102.0,23.0,5.3,2463000000000.0,3.4,48.2,94.5,2018
"Micronesia, Federated States Of",158.25,6.91666666666667,12.5,348000000.0,16.2,61.1,,2018
Moldova,29.0,47.0,6.7,23720000000.0,4.1,26.8,99.4,2018
Monaco,7.4,43.7333333333333,1.4,7672000000.0,2.0,,,2018
Mongolia,105.0,46.0,5.2,39730000000.0,8.0,34.0,98.4,2018
Montenegro,19.3,42.5,,11080000000.0,16.1,31.9,98.7,2018
Montserrat,-62.2,16.75,5.1,167400000.0,5.6,,,2018
Morocco,-5.0,32.0,5.3,298600000000.0,10.2,40.9,68.5,2018
Mozambique,35.0,-18.25,6.5,37090000000.0,24.5,45.6,58.8,2018
Namibia,17.0,-22.0,8.3,26600000000.0,34.0,59.7,81.9,2018
Nauru,166.916666666667,-0.533333333333333,,160000000.0,23.0,,,2018
Navassa Island,-75.0333333333333,18.4166666666667,,,,,,2018
Nepal,84.0,28.0,3.7,79190000000.0,3.0,32.8,63.9,2018
Netherlands,5.75,52.5,5.5,924400000000.0,4.9,30.3,,2018
New Caledonia,165.5,-21.5,,11110000000.0,14.7,,96.9,2018
New Zealand,174.0,-41.0,6.3,189000000000.0,4.7,36.2,,2018
Nicaragua,-85.0,13.0,4.5,36400000000.0,6.4,47.1,82.8,2018
Niger,8.0,16.0,6.0,21860000000.0,0.3,34.0,19.1,2018
Nigeria,8.0,10.0,,1121000000000.0,16.5,48.8,59.6,2018
Niue,-169.866666666667,-19.0333333333333,,10010000.0,12.0,,,2018
Norfolk Island,167.95,-29.0333333333333,,,,,,2018
Northern Mariana Islands,145.75,15.2,,1242000000.0,11.2,,,2018
Norway,10.0,62.0,7.7,381200000000.0,4.2,26.8,,2018
Oman,57.0,21.0,6.2,190100000000.0,,,93.0,2018
Pacific Ocean,-160.0,0.0,,,,,,2018
Pakistan,70.0,30.0,2.8,1061000000000.0,6.0,30.7,57.9,2018
Palau,134.5,7.5,,264000000.0,1.7,,96.6,2018
Panama,-80.0,9.0,3.2,104100000000.0,6.0,50.7,95.0,2018
Papua New Guinea,147.0,-6.0,,30190000000.0,2.5,50.9,64.2,2018
Paracel Islands,112.0,16.5,,,,,,2018
Paraguay,-58.0,-23.0,5.0,88910000000.0,5.7,51.7,95.1,2018
Peru,-76.0,-10.0,3.8,430300000000.0,6.9,45.3,94.2,2018
Philippines,122.0,13.0,2.7,877200000000.0,5.7,44.4,96.3,2018
Pitcairn Islands,-130.1,-25.0666666666667,,,,,,2018
Poland,20.0,52.0,4.9,1126000000000.0,4.9,30.8,99.8,2018
Portugal,-8.0,39.5,5.1,314100000000.0,8.9,33.9,95.7,2018
Puerto Rico,-66.5,18.25,6.0,130000000000.0,10.8,,93.3,2018
Qatar,51.25,25.5,3.6,339500000000.0,8.9,41.1,97.3,2018
Romania,25.0,46.0,3.1,483400000000.0,4.9,27.3,98.8,2018
Russia,100.0,60.0,3.8,4016000000000.0,5.2,41.2,99.7,2018
Rwanda,30.0,-2.0,3.5,24680000000.0,2.7,50.4,70.5,2018
Saint Barthelemy,-63.4166666666667,18.5,,,,,,2018
Saint Kitts And Nevis,-62.75,17.3333333333333,2.8,1550000000.0,4.5,,,2018
Saint Lucia,-60.9666666666667,13.8833333333333,5.7,2542000000.0,20.0,,,2018
Saint Martin,-63.95,18.0833333333333,,561500000.0,,,,2018
Saint Pierre And Miquelon,-56.3333333333333,46.8333333333333,,261300000.0,8.7,,,2018
