geojson_country,education_expenditures,purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate
Cameroon,3.183333333,58566153846,71.76923077,44.89230769,24.06923077
Canada,5.166666667,1.48023E+12,99,32.13846154,6.938461538
Cape Verde,5.525,2639076923,82.51538462,,17.30769231
Cayman Islands,2.68,2277076923,98.48461538,,4.092307692
Central African Republic,1.258333333,3438076923,46.04615385,58.57692308,7.830769231
Chad,2.6,22786153846,30.99230769,43.3,
Chile,4.233333333,3.32046E+11,96.79230769,52.59230769,6.992307692
China,1.9,1.43615E+13,93.91538462,46.14615385,4.446153846
Christmas Island,,,,,
Clipperton Island,,,,,
Cocos (Keeling) Islands,,,,,46.17692308
Colombia,4.566666667,5.28446E+11,92.83846154,54.73076923,10.31538462
Comoros,6,1059992308,69.03076923,55.9,15.84615385
Cook Islands,2.73,210523076.9,95,,13.1
Coral Sea Islands,,,,,
Costa Rica,6.333333333,62781538462,96.31538462,49.45384615,7.515384615
Croatia,4.416666667,83571538462,98.73846154,30.63846154,16.26153846
Cuba,12.39166667,1.17309E+11,99.8,,2.476923077
Cura̤ao,4.9,3012000000,,,11.87
Cyprus,6.316666667,25686666667,98.34615385,31.38333333,9.715384615
Czech Republic,4.425,2.97754E+11,99,26.38461538,6.469230769
Democratic Republic of the Congo,2.114285714,41129230769,68.71538462,42.1,
Denmark,8.208333333,2.30762E+11,99,26.15384615,4.907692308
Dhekelia Sovereign Base Area,,,,,
Djibouti,6.8,2564153846,67.9,40.9,55.61538462
Dominica,4.222222222,794769230.8,94,,23
Dominican Republic,2.64,1.13453E+11,89.47692308,48.33076923,11.86923077
East Timor,9.54,7040538462,61.97692308,33.77692308,19.26153846
Ecuador,3.58,1.43841E+11,92.41538462,46.89230769,6.223076923
Egypt,3.872727273,7.15762E+11,73.29230769,32.89230769,11.40769231
El Salvador,3.441666667,46592307692,84.07692308,46.15384615,6.646153846
Equatorial Guinea,0.6,25036923077,91.73076923,,21.50769231
Eritrea,2.133333333,5973461538,66.73846154,,7.48
Estonia,5.183333333,31861538462,99.8,33.53846154,8.523076923
Eswatini,7.1,11600000000,87.5,50.4,28
Ethiopia,5.066666667,1.20492E+11,44.59230769,31.38461538,17.5
Falkland Islands,,152492307.7,,36,3.325
Faroe Islands,,1528384615,,22.7,3.8
Federated States of Micronesia,9.38,316984658,89,61.1,19.76923077
Fiji,4.975,5812461538,93.7,,7.146153846
Finland,6.591666667,2.06208E+11,100,26.81538462,8.023076923
France,5.636363636,2.37825E+12,99,30.51666667,9.25
French Polynesia,,5392461538,98,,15.58461538
Gabon,3.25,27393076923,76.8,42.2,22.61538462
Gambia,2.8,3528384615,48.47692308,50.2,
Gaza Strip,4.1,7437000000,94.51538462,,31.93846154
Georgia,2.816666667,28403076923,99.85384615,42.17692308,13.94615385
Germany,4.775,3.36108E+12,99,27.17692308,5.9
Ghana,6.191666667,83486153846,67.90769231,40.62307692,11.00769231
Gibraltar,,1456846154,80,,2.461538462
Greece,4.133333333,2.98423E+11,96.85384615,34.50769231,18.06153846
Greenland,,1924846154,100,33.9,8.161538462
Grenada,5.977777778,1331307692,96.28888889,,22.65384615
Guam,,3879384615,99,,9.153846154
Guatemala,2.9,94003076923,74.91538462,54.82307692,3.253846154
Guernsey,,3015538462,,,0.969230769
Guinea,2.425,16084615385,32.5,39,2.6
Guinea Bissau,3.485714286,2057915385,52.02307692,,
Guyana,5.066666667,5263153846,92.14615385,44.13333333,10.74615385
Haiti,1.65,15113846154,55.25384615,59.73333333,40.6
Heard Island and McDonald Islands,,,,,
Honduras,5.014285714,37226923077,84.16923077,54.05384615,8.269230769
Hong Kong S.A.R.,3.691666667,3.65285E+11,93.5,53.46923077,3.676923077
Hungary,4.958333333,2.21731E+11,99.19230769,26.89230769,8
Iceland,7.55,13934615385,99,27.5,4.269230769
India,3.441666667,5.79777E+12,65.2,35.93846154,8.723076923
Indian Ocean,,,,,
Indonesia,3.291666667,1.80038E+12,92.46153846,37.00769231,7.153846154
Iran,4.133333333,1.10779E+12,81.9,44.38461538,13.04615385
Iraq,,3.19664E+11,77.24615385,,16.82307692
Ireland,5.25,2.30423E+11,99,32.23846154,9.630769231
Isle of Man,,4467230769,,,1.746153846
Israel,6.041666667,2.49069E+11,97.36923077,39.92307692,6.053846154
Italy,4.325,1.96792E+12,98.8,32.33076923,9.738461538
