,country,map_references,lattitude,longitude,education_expenditures,purchasing_power_parity,per_capita_purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate,povery_rate,household_income_lowest_ten_percent,household_income_highest_ten_percent
99,Guyana,South America,5.0,-59.0,6.3,6301000000,8100,88.5,44.6,11.1,35.0,1.3,33.8
100,Haiti,Central America and the Caribbean,19.0,-72.41666666666667,2.4,19970000000,1800,60.7,60.8,40.6,58.5,0.7,47.7
101,Heard Island And Mcdonald Islands,Antarctic Region,-53.1,72.51666666666667,,,,,,,,,
102,Holy See (Vatican City),Europe,41.9,12.45,,,,,,,,,
103,Honduras,Central America and the Caribbean,15.0,-86.5,6.0,46300000000,5600,89.0,47.1,5.6,29.6,1.2,38.4
104,Hong Kong,Southeast Asia,22.25,114.16666666666667,3.3,455900000000,61500,,53.9,3.1,19.9,1.8,38.1
105,Hungary,Europe,47.0,20.0,4.6,289600000000,29600,99.1,28.2,4.2,14.9,3.3,22.4
106,Iceland,Arctic Region,65.0,-18.0,7.7,18180000000,52200,,28.0,2.8,,,
107,India,Asia,20.0,77.0,3.8,9474000000000,7200,71.2,35.2,8.5,21.9,3.6,29.8
108,Indian Ocean,Political Map of the World,-20.0,80.0,,,,,,,,,
109,Indonesia,Southeast Asia,-5.0,120.0,3.6,3250000000000,12400,95.4,36.8,5.4,10.9,3.4,28.2
110,Iran,Middle East,32.0,53.0,3.8,1640000000000,20100,85.5,44.5,11.8,18.7,2.6,29.6
111,Iraq,Middle East,33.0,44.0,,649300000000,16700,79.7,,16.0,23.0,3.6,25.7
112,Ireland,Europe,53.0,-8.0,3.8,353300000000,73200,,31.3,6.7,8.2,2.9,27.2
113,Isle Of Man,Europe,54.25,-4.5,,6792000000,84600,,,1.1,,,
114,Israel,Middle East,31.5,34.75,5.9,317100000000,36400,97.8,42.8,4.2,22.0,1.7,31.3
115,Italy,Europe,42.833333333333336,12.833333333333334,4.1,2317000000000,38200,99.2,31.9,11.3,29.9,2.3,26.8
116,Jamaica,Central America and the Caribbean,18.25,-77.5,5.3,26060000000,9200,88.7,35.0,12.2,17.1,2.6,29.3
117,Jan Mayen,Arctic Region,71.0,-8.0,,,,,,,,,
118,Japan,Asia,36.0,138.0,3.5,5443000000000,42900,,37.9,2.9,16.1,2.7,24.8
119,Jersey,Europe,49.25,-2.1666666666666665,,5569000000,56600,,0.3,4.0,,,
120,Jordan,Middle East,31.0,36.0,3.6,89000000000,9200,95.4,39.7,18.3,14.2,3.4,28.7
121,Kazakhstan,Asia,48.0,68.0,2.9,478600000000,26300,99.8,26.3,5.0,2.6,4.2,23.3
122,Kenya,Africa,1.0,38.0,5.2,163700000000,3500,78.0,48.5,40.0,36.1,1.8,37.8
123,Kiribati,Oceania,1.4166666666666667,173.0,,227000000,2000,,,30.6,,,
124,"Korea, North",Asia,40.0,127.0,,40000000000,1700,100.0,,25.6,,,
125,"Korea, South",Asia,37.0,127.5,5.3,2035000000000.0002,39500,,35.7,3.7,14.4,6.8,48.5
126,Kosovo,Europe,42.583333333333336,21.0,,19600000000,10900,,23.2,30.5,17.6,3.8,22
127,Kuwait,Middle East,29.5,45.75,,289700000000,65800,96.0,,1.1,,,
128,Kyrgyzstan,Asia,41.0,75.0,7.2,23150000000,3700,99.5,33.4,7.1,32.1,4.4,22.9
129,Laos,Southeast Asia,18.0,105.0,2.9,49340000000,7400,84.7,36.7,0.7,22.0,3.3,30.3
130,Latvia,Europe,57.0,25.0,5.3,54020000000,27700,99.9,34.5,8.7,25.5,2.2,26.3
131,Lebanon,Middle East,33.833333333333336,35.833333333333336,2.5,88250000000,19600,93.9,,9.7,28.6,,
132,Lesotho,Africa,-29.5,28.5,6.4,6656000000,3300,79.4,63.2,28.1,57.0,1.0,39.4
133,Liberia,Africa,6.5,-9.5,3.8,6112000000,1300,47.6,32.0,2.8,54.1,2.4,30.1
134,Libya,Africa,25.0,17.0,,61970000000,9600,91.0,,30.0,,,
135,Liechtenstein,Europe,47.266666666666666,9.533333333333333,2.6,4978000000,139100,,,2.4,,,
136,Lithuania,Europe,56.0,24.0,4.2,91470000000,32400,99.8,37.9,7.1,22.2,2.2,28.8
137,Luxembourg,Europe,49.75,6.166666666666667,3.9,62110000000,105100,,30.4,5.8,,3.5,23.8
138,Macau,Southeast Asia,22.166666666666668,113.55,3.1,71820000000,110000,96.5,35.0,2.0,,,
139,Madagascar,Africa,-20.0,47.0,2.8,39850000000,1600,64.7,41.0,1.8,70.7,2.2,34.7
140,Malawi,Africa,-13.5,34.0,4.0,22420000000,1200,62.1,46.1,20.4,50.7,2.2,37.5
141,Malaysia,Southeast Asia,2.5,112.5,4.7,933300000000,29100,94.6,46.2,3.4,3.8,1.8,34.7
142,Maldives,Asia,3.25,73.0,4.3,6901000000,19200,99.3,38.4,2.9,15.0,1.2,33.3
143,Mali,Africa,17.0,-4.0,3.1,41220000000,2200,33.1,40.1,7.9,36.1,3.5,25.8
144,Malta,Europe,35.833333333333336,14.583333333333334,5.3,19260000000,41900,94.4,28.1,4.6,16.3,,
145,Marshall Islands,Oceania,9.0,168.0,,196000000,3600,98.3,,36.0,,,
146,Mauritania,Africa,20.0,-12.0,2.6,17280000000,4500,52.1,37.0,10.2,31.0,2.5,29.5
147,Mauritius,Africa,-20.283333333333335,57.55,5.0,28270000000,22300,93.2,35.9,7.1,8.0,,
148,Mexico,North America,23.0,-102.0,5.2,2463000000000,19900,94.9,48.2,3.4,46.2,2.0,40
